Nome,Sobrenome,Data de Nascimento,Cidade de Nascimento,Nome do Pai,Nome da Mãe
Aaron,王,1974-09-26,Beilngries,Ermanno Hall,Mallory Ungaretti
Cirillo,Henck,1943-09-03,Eutin,Daniel Mohaupt,Grit 罗
Randy,Gotthard,1954-08-11,Haldensleben,Tyler Campbell,Felicia Carvalho
Davi Lucas,Salvini,1963-05-24,Mayen,旭 范,Lavínia Welch
Napoleone,Dorsey,1994-04-04,Bad Kissingen,William da Mota,Robin Nogueira
Julia,Harris,1953-01-30,北镇,Fabrizio Bennett,Alexia 韩
桂花,谢,1952-05-25,澳门,Nick Rodriguez,Germana Tuzzolino
Danny,Dias,1971-09-11,Wolgast,Thomas 陈,Silvia Grossi
鑫,Wright,1945-08-01,大冶,Samuel Ritter,Tiffany Federico
Beverly,Argentero,1943-01-13,Lübeck,Casey 田,Alessandra 姚
Marta,Kranz,1956-08-25,昆明,George Eaton,Rachel 向
Andrew,Ross,1948-05-17,六安,Cauã Trujillo,Lucia Castro
Ina,李,1987-10-23,巢湖,Graziano Ramos,Amber Stephens
Brandon,Lawson,1951-10-05,海门,Pedro Lucas 刘,Beth 尹
Corrado,Green,2001-02-03,合肥,Luiz Fernando Holland,玉 赵
Friedrich-Wilhelm,Gonçalves,1980-01-29,Strasburg,Vinicius da Cruz,Heather 张
丽娟,Matthews,1963-09-17,Eisenberg,Bernard Trommler,Gelsomina Johnson
Mercedes,Cunha,1992-03-01,永安,Ruben Jones,Stephanie Cross
Roderich,李,1956-10-18,Mainburg,Marcelo Lyons,Giulia Mies
Natalie,张,1992-09-30,Saarbrücken,Bernardo Pasqua,婷婷 Bignardi
Romina,Tschentscher,1958-05-15,重庆,George 谭,Kathy Celentano
博,Berger,1975-12-08,Regen,Engelbert 王,Gemma 罗
Fiorino,Burke,1984-07-04,太原,Ronald Nielsen,Michelle 罗
Laís,Peukert,1996-04-24,Königs Wusterhausen,Francisco 杨,Michelle Stone
Emily,Pinto,1965-02-18,哈尔滨,Brian Aragão,Undine Hellwig
Tracy,张,1955-01-07,Zschopau,Juan Kensy,淑珍 Börner
兵,卢,1971-10-28,永安,Chad Melo,Larissa Falloppio
Adelmo,魏,1976-01-09,贵阳,Patrick Meyer,Victoria 徐
琴,Thomas,1960-02-06,Wunsiedel,James Udinese,Jennifer Barton
秀荣,Gonzalez,1958-09-14,Fürstenfeldbruck,Brandon Eigenwillig,萍 Henry
Maria Sophia,Hering,1981-11-27,澳门,Aaron Pergolesi,Emma da Luz
Maxwell,Mendes,1996-08-02,潮州,Ronald Williams,Nadia Mcbride
Gemma,da Mata,1958-04-03,Dessau,Eduardo 刘,Melissa Hertrampf
John,Bixio,1995-01-22,Erfurt,Donald Argento,Nora Smith
Joana,Graham,1944-11-22,Heiligenstadt,兵 吴,Emily Etzold
Timothy,卢,1972-06-14,Günzburg,建军 Henry,Jenna Serrano
Luiza,Leonard,1973-11-23,荆门,Justin 韩,Luiza Schmidt
Letícia,Schinke,1964-11-04,南京,Valerio 何,Bianca Gomes
Cassandra,Mohaupt,1967-05-03,Wesel,Alexandre Krebs,Chantal 杨
宁,Marshall,1967-08-10,Eichstätt,林 Moore,玉珍 Neuschäfer
Vinicius,徐,1977-04-29,永安,阳 Jockel,Maria Eduarda Gardner
Ana Júlia,da Rosa,1992-03-08,Main-Höchst,John Warner,Olena 王
Nancy,Calbo,2001-01-27,天津,Nathan Tarantini,Catherine 林
John,宋,1984-09-01,Northeim,Gianmarco 赵,小红 Hess
Maria Vitória,Rust,1976-12-13,Hersbruck,Adrian Odescalchi,Claudia 林
Laura,曾,1987-07-08,宁德,Guido Green,Ortrud Riccardi
红霞,Joyce,1997-03-08,昆明,Orlando Castro,Susan Novaes
Paul,张,1995-10-23,Badibling,Hans-H. Anderson,秀荣 Veneziano
建军,Thompson,1942-11-10,Rehau,Luigi 韦,秀兰 Nascimento
Karen,Ribeiro,1957-09-14,兴城,Hans-Joachim Aguirre,莉 时
Steven,Farias,1957-10-26,海门,Alfred 谢,Dana Peixoto
Hubert,Heß,1966-04-04,Mettmann,Gustavo Silva,Elizabeth Stokes
Davi Lucas,Brown,1965-06-26,淮安,Walter Benthin,Gina Bowman
John,Holmes,1943-06-09,北镇,彬 Henck,Caitlin Mitchell
娟,Barkholz,1957-03-12,Erkelenz,凯 Balbi,Filippa 封
Enzo Gabriel,李,1944-12-01,通辽,David Mazzeo,秀兰 Schmidt
Marliese,Lutz,1965-04-01,Aachen,Christopher Fantoni,Melissa 侯
Fadime,Correia,2002-03-31,Neustadtner Waldnaab,Gastone Pisani,海燕 刘
红,Strong,2002-10-10,兴安盟,Nils Ruppersberger,Nadia Häring
Antonella,Ponti,2004-02-23,乌鲁木齐,Michael Banks,Antonia Fowler
Wayne,Hernandez,1976-02-16,Bad Kreuznach,Adrian Zaccagnini,莹 Dörr
Susanne,Cardoso,1963-06-10,Dessau,Jens French,Annetta Platini
Agathe,Potter,1973-07-08,Mellrichstadt,Gustavo Henrique da Rocha,Stephanie Holt
Gabriel,Summers,1945-12-16,Geithain,Steven Haas,Slavica Kramer
玉英,Cherry,1958-06-22,Hannoversch Münden,Miguel Cavalcanti,秀芳 Correia
Ana Clara,Wilson,2002-01-14,Hohenstein-Ernstthal,Stefano Jesus,Renata Wirth
Linda,Robinson,1976-01-22,Sternberg,Maurice Nichols,Katrin Oliveira
Christian,Williams,1971-01-06,Großenhain,Brian 龙,Lilija 罗
Jeffery,Sales,1986-05-29,潜江,建平 Martucci,柳 Dörschner
Stanley,Scheel,1962-08-08,南昌,Collin Ayala,Käthe Alvarez
Aurora,Serao,1947-12-14,Bad Liebenwerda,彬 Hölzenbecher,Beatrice 柳
Pedro Henrique,Williams,1956-07-10,Nördlingen,Thomas King,Laura Mckinney
Nancy,Rosales,1986-12-19,合山,Augusto Cardoso,Sandra 林
Sylvester,Radisch,1947-12-30,Lemgo,Joseph Liebelt,Brandi Sales
Silke,胡,2001-11-29,济南,Silvio Deleon,Marie-Louise Monti
Girolamo,Pacelli,1983-12-17,天津,Erick 黄,Veronica Garcia
Luigina,Smith,1979-01-09,Kaiserslautern,Hendrik Porto,Maria Vitória Roberts
Radmila,Freudenberger,1973-05-10,Hannover,建军 韩,Jasmine Scandone
Emily,Travia,1994-06-01,杭州,Alan Powell,Claudia da Mota
Ugo,杨,1989-06-26,长春,Jacob Mitschke,Amy Duarte
Niko,Sorgatz,1948-04-22,Wesel,Murilo Heydrich,淑华 Boucsein
Emanuel,Wilson,1981-11-29,Neustrelitz,Michael Rinaldi,Manuela 周
Melitta,Bonanno,1974-02-27,Tecklenburg,Marc Ferreira,Federica 翟
Giampiero,Barrett,1945-07-01,杭州,Gotthold Hanna,Anna-Lena Zahn
Jeffery,魏,1972-06-03,Rudolstadt,Coluccio Johnson,Alice Garrone
Melania,Schlosser,1953-10-24,六盘水,Tino Roncalli,Slavica Pereira
Vitor,da Rocha,1984-11-22,Dresden,John Velasquez,Barbara Henderson
Jay,Spieß,1981-12-07,Deggendorf,Graziano 刘,莉 Ackermann
Esther,Jesus,1971-01-08,Sondershausen,龙 王,Abigail Cohen
Charles,Rice,1999-04-21,Potsdam,Thomas 张,海燕 Briemer
Nicolò,Lawrence,1953-08-14,重庆,Fabio 尚,桂芝 Porto
鑫,das Neves,2000-02-03,Magdeburg,João Lucas Lucas,Nadia Wagner
Pedro Lucas,Rörricht,1989-10-22,荆门,瑞 Araújo,Debra Richards
Bert,Henschel,1956-06-11,长春,Randy Alves,Aurora Adams
Sole,Maderna,1974-04-15,Hofgeismar,Azeglio Fisher,Natália Azevedo
Henrique,Wright,1988-07-15,Tirschenreuth,John Tanner,Olivia Viana
Nina,Tamburello,1956-01-09,兴安盟,Jeremy 郭,Kristen 吕
Sofia,Peruzzi,1998-06-11,Demmin,鹏 Rojas,Lynn 杨
Silvia,黄,1944-06-16,Weißwasser,Gernot Gianetti,Viridiana Gibson
Amy,李,1993-01-09,南昌,Pasqual 郭,Mathilde 杨
Karin,Fantoni,1954-12-05,上海,Shaun Ferreira,Kristi Köhler
Crystal,Vogt,1996-11-25,Bremen,Benjamin Ferrata,Rita Schüler
Anthony,Curry,1974-02-07,Gräfenhainichen,Bobby Brown,Cynthia Antonacci
Mark,Hoffman,1950-01-27,Burg,Ryan Welch,Wiebke Gute
建平,Cuzzocrea,1985-04-23,Suhl,Guilherme da Rosa,Kathryn Schleich
红梅,Hall,1956-03-05,巢湖,Filippo Hernandez,Taylor 牛
Susanna,刘,1979-09-27,济南,Benito Lane,Manja Ribeiro
André,Soderini,1965-02-08,München,Antonius Teixeira,Sieglinde Lopes
Meredith,张,1984-12-02,Bremen,Krzysztof 严,Sheila Ritter
Wolf-Dieter,Vezzali,1980-03-12,兰州,Denny Barese,Fernanda Niemeier
Raquel,Flores,1978-07-11,南京,楠 Nicolini,Reingard Orengo
秀珍,Rezende,2003-05-30,深圳,Tullio Cuevas,Paula Rudolph
Felicia,徐,1960-06-02,Regen,Philip Vasari,Morgan Müller
Pellegrino,黄,1989-04-01,Chemnitz,Mario Seidel,Gloria Giannone
Andrew,Chavez,1989-07-24,合山,João Felipe Gröttner,Lucrezia Wolf
Eleonora,Ortiz,1967-09-17,西宁,Kyle 胡,Nina Gadda
Rossana,Bruce,1979-12-04,邯郸,Jared Marinetti,Elise Araújo
Marten,陈,1974-06-12,成都,Jose Carvalho,秀兰 Fernandes
Carla,Röhrdanz,1958-08-12,辛集,健 Farias,Carol Spinelli
Kendra,da Rocha,2000-03-10,永安,David 杨,Isa Reyes
Jessica,Tanner,1992-07-15,Riesa,Jason Velasquez,瑜 Heintze
Francesca,Bulzoni,1986-01-26,广州,Hans-Hinrich 孙,Jessica Anders
Ewald,Thomas,1959-03-22,大冶,Karl-Hans Pena,海燕 李
Karen,Malone,1970-07-08,Merseburg,Gianluca Armstrong,Stefani 陈
Arnaldo,Trombetta,1974-09-03,Moers,Richard Owen,Sophie Rangel
Vincent,林,1965-03-13,Konstanz,Robert Wesack,秀华 Hawkins
Sylke,Araújo,1983-01-25,Flöha,Francisco Mills,Rebeca Lorch
Zachary,Condoleo,1976-12-25,Kamenz,Gioffre Martinez,桂香 Cavalcanti
Alexia,Cohen,1998-06-18,Kulmbach,Robert Evans,Nicole 尤
Juliana,吴,1964-05-24,潮州,Marcos Vinicius Viana,婷婷 Gonçalves
Lilla,Crawford,1962-06-27,Prenzlau,Reza Barnett,Elvira Coleman
Simonetta,Mayer,1962-09-02,荆门,Rüdiger Johnson,Christine 孔
Cindy,Flores,1988-07-25,昆明,建 尹,Daniela Casagrande
Luigi,Melo,1967-11-19,Mittweida,Ezio Bradford,Stacey 马
Gabriel,Smith,1948-05-19,Sternberg,Ivo Moraes,桂英 Heß
Ashley,Werner,1977-09-08,长沙,Augusto Miller,小红 Caspar
Melania,Jones,1989-05-20,Beilngries,Robert 齐,Kathryn Vieira
Markus,Bähr,1942-05-29,西安,建军 Ladeck,洁 朱
Adrienne,Hart,1961-02-23,Bad Kissingen,Diogo Green,桂荣 Rodrigues
Pasquale,Scalera,1964-09-21,Gera,Leonard Ayers,Isabel 王
Patricia,Martin,1969-05-23,Waldmünchen,Jeff Harris,Stephanie da Rocha
João,Cunha,1949-04-24,Hainichen,João Miguel Fisher,Tina 詹
Luigi,孔,1945-01-23,Amberg,Kaspar Drewes,Alyssa Murphy
Donna,刘,1961-01-23,潜江,Alan Landry,丹 da Conceição
Hanife,Thomas,1997-10-22,Kamenz,Graziano 潘,Elvira 陈
红霞,Trotta,1967-04-24,呼和浩特,Christopher Hamann,Maria Welch
云,王,1968-02-01,Senftenberg,Josef Gutknecht,桂兰 Duse
旭,Brooks,2004-06-08,Säckingen,Michelangelo Morse,桂芝 Reyes
Andrea,Murphy,1981-04-02,上海,Adelmo 徐,Erika Melo
颖,Carvalho,1983-08-23,巢湖,Alexei Pirelli,Melissa Novaes
Tino,Merisi,1973-04-28,呼和浩特,Carl Lopez,Irmtraud Gadda
Michael,Duarte,1969-07-23,Osterode am Harz,利 林,Wendy Monti
Sean,Campise,1965-04-15,Greifswald,宇 Cunha,Stephanie 林
David,Hamann,1957-11-09,Weißwasser,Gioele Rodgers,Erica Finzi
洋,Almeida,1988-03-20,长春,James Noack,萍 Lehmann
玉华,Novaes,1956-03-02,Lippstadt,James Cain,艳 Jüttner
Maria Cecília,詹,1943-12-23,南宁,Anto Moreira,Ashlee Vega
Tiffany,Gibson,1943-10-22,佛山,Meik da Rocha,云 Gullotta
Danilo,Junk,1963-09-15,Kulmbach,Alexandre Miller,燕 Brown
Taylor,Shaffer,1991-09-05,太原,军 Barron,Brandy 朱
Megan,Barnes,2002-05-29,Lüdenscheid,Joshua Holt,Emanuelly Barros
Ben,李,1949-03-22,永安,军 Galuppi,桂芳 Martinez
Isa,da Rosa,1984-07-24,东莞,David Duarte,海燕 Pölitz
Hans,吴,1988-03-02,Füssen,Michail Valenzuela,Maria Clara West
Charles,张,1962-07-06,Pfaffenhofen an der Ilm,浩 段,Federica Rocha
Felipe,Klapp,1997-07-08,深圳,Neil Mondadori,Whitney Cardoso
Tiffany,Tran,1957-07-09,Deggendorf,Casey Gussoni,Nelly 田
霞,Cardoso,1995-09-10,Wunsiedel,John Vigorelli,Cecilia 王
Heather,Giacometti,1979-11-12,南昌,Mathias Hettner,Heather Lindau
Olga,Pergande,1965-09-08,Brandenburg,Kevin da Paz,燕 张
Steven,Aragão,1990-07-24,Freudenstadt,Yilmaz 杨,Stacy 赵
Michelotto,Johnson,1969-12-21,Goslar,Andrew Blankenship,Aurora Ceravolo
Gernot,Satta,1979-12-06,Finsterwalde,Jost Ferguson,荣 Pires
建军,Kraushaar,2001-10-03,昆明,Fausto 杨,玉 Gravina
George,吴,1946-01-16,Strausberg,Heiko 萧,Apollonia Wilson
Amalia,刘,2003-06-29,Delitzsch,Rembrandt Parker,Cynthia King
Mike,Johnson,1966-05-15,澳门,Bernardo Pierce,Eduarda Zorbach
琳,Toscani,2000-01-14,Sonneberg,Robert Farias,Isabella Jones
Aria,Boyd,1968-09-27,深圳,彬 Nogueira,Ornella 罗
Mark,Silva,1977-01-20,Sulzbach-Rosenberg,坤 赵,Jasmine Dussen van
Pasquale,Burns,1964-12-24,Gütersloh,Richard Smith,Katarina Azevedo
Enzo,Novaes,2001-06-18,南宁,Nicholas Giannetti,Allegra Fogaça
Jim,Gomes,1962-01-01,昆明,Hans-Albert 许,Ida Gemito
Christopher,Howard,1975-04-17,昆明,Biagio Rogers,Sandra Nosiglia
Pamela,韩,1991-07-16,Wittenberg,Enrico Schottin,Connie 岳
Azeglio,Eberth,2002-10-03,Rostock,John Corradi,Vitória 邓
Polina,Holland,1996-03-22,Geldern,João Lucas 时,Cathleen Lee
Ottavio,Jesus,1947-09-24,辛集,Craig Gnatz,Tonya Kambs
明,Ramos,1974-11-15,Rockenhausen,Hans-Peter Pohl,Bianca Mccarthy
Raymund,Tomei,1959-07-04,Grevesmühlen,Justin Steinberg,Abigail Jimenez
Gordon,Schmidt,1946-09-26,Artern,Antônio Rivera,金凤 Lopez
Marica,张,1961-02-20,Wertingen,Lodovico Sherman,梅 Miller
Stacy,da Rocha,1996-02-12,Böblingen,Mirco Oestrovsky,Rebeca Long
Madeline,Blanchard,1967-10-18,西宁,Cornelius Fox,Susan 王
东,何,1998-11-15,宜都,Diethard Morgagni,畅 Foletti
Enrico,Fogaça,1958-08-24,石家庄,佳 Payne,Allison Bähr
Zoltan,Martin,1964-05-04,柳州,Christopher Verdi,Felicitas Patterson
Tanya,Hall,1994-04-26,邯郸,Pierpaolo da Paz,Courtney Stewart
Santino,Marrone,1967-04-09,Wanzleben,Antonio Gonzales,Laura Gay
Arnulfo,da Cunha,2001-10-10,南昌,Enzo 刘,Julie Rezende
Rodrigo,King,1948-11-21,郑州,Patrick Stradivari,Maria Alice Pires
Amy,Cociarelli,1972-08-12,潜江,Nicholas Robertson,Daniela Sandoval
秀荣,李,1993-01-02,Artern,Stanley Miller,Amber Pham
Albertine,Trommler,1979-11-18,Mayen,Gianpaolo 周,Fiamma Brugnaro
兵,Rocha,1963-06-01,辛集,Brian Odescalchi,Kordula Weinhold
Mirko,Perkins,1944-10-14,合肥,军 Verri,Beverly Patterson
Sigrun,da Luz,1958-04-25,合肥,Friedrich-Wilhelm 孙,Cristina da Cunha
勇,Brown,1947-02-14,福州,浩 Lindner,Shari Almeida
Vesna,Reuter,1955-11-20,Rehau,Grzegorz Mülichen,Mariele Santana
Ralf-Dieter,Druso,1953-10-10,齐齐哈尔,Thaddäus 李,Luana Delgado
Kendra,张,2004-07-25,通辽,浩 Araújo,秀兰 莫
玉珍,Gordon,1953-06-29,澳门,Salvi Sanchez,Jennifer Cuevas
Sven,冯,1942-12-22,Rehau,Peter Querini,Flavia Freeman
Michael,Hendriks,1979-05-05,Sulzbach-Rosenberg,Stephen Carvalho,Pamela Mitchell
Bela,Nascimento,1982-08-09,海口,John 梁,Gislinde Hübel
Angelina,Henk,1981-01-21,Husum,Willibert Greggio,Dana Martin
畅,Sanchez,1973-12-06,Feuchtwangen,Miguel Cardoso,Theresa Miller
Mary,韩,2001-09-18,哈尔滨,Andrew Schönland,Cheyenne Migliaccio
霞,Cardoso,1980-08-25,辽阳,Enzo Gabriel Pisaroni,Milena Robinson
Alice,Andrade,1982-11-24,Roth,Shawn Sutton,Monica 杨
David,Gould,1959-09-28,Stuttgart,Salvi Cochran,Ana Clara Flantz
Michele,Graf,1955-12-29,马鞍山,Hans-Michael Rasmussen,Carolina 李
晨,Buchanan,1983-05-13,Gunzenhausen,想 王,梅 甘
Piergiuseppe,Franke,2005-02-26,北镇,Murat 蒋,丹 Azevedo
琳,蒲,1951-10-31,呼和浩特,John Peixoto,Lindsey 陈
Kaitlin,Wilkinson,1996-08-11,北镇,Alexander da Costa,Caroline Morris
Marcel,艾,1956-08-19,Senftenberg,Mirco Shannon,Amy Jefferson
Francesco,da Costa,2003-09-25,Freising,Rodolfo Garza,颖 Lawrence
Sarah,Tlustek,1960-12-07,武汉,刚 Pinto,Megan Putz
Amy,Nogueira,1980-10-14,南京,Brandon Ladeck,Greca 张
Julia,刘,1973-01-25,太原,Henrique 王,Giovanna 曹
秀云,Bennett,1983-09-17,西安,Enzo Gabriel Perozzo,Jennifer 王
Carlos Eduardo,Ditschlerin,1985-12-09,张家港,Donald Moore,Caroline Karz
Xavier,Tarantini,1948-09-06,Riesa,William Hughes,Helena Weber
João Gabriel,Bolander,2003-06-29,Tuttlingen,Theo Pereira,Sophia Marenzio
Valentina,Drubin,1970-04-26,Osterode am Harz,Eric Flynn,Tina Gravina
峰,da Luz,1997-11-22,München,Joseph Margraf,Isis Clark
Alexis,Mullen,2001-11-16,北镇,James Guarato,Lavínia Bailey
Daniela,Gianvecchio,1945-12-27,乌鲁木齐,Othmar Carocci,Kimberly Ramos
Gregor,吴,1997-09-13,辛集,Ryan Riehl,Christina Almeida
Cristina,Nibali,1991-10-07,福州,Flavio Ossola,Felicia Alves
James,Wagner,1950-08-07,澳门,Utz 刘,Monica Donovan
Cassandra,Schacht,1949-05-23,潜江,James 陈,Michelle Moran
Noah,王,2002-02-03,Hammelburg,Klaus-Werner Liguori,Lorena 金
Maria Clara,Owens,1960-05-21,Diepholz,Gionata Wilkinson,Gitte 唐
Fabrizio,Schmiedt,1944-04-07,Hannoversch Münden,Antonino Moreira,Jolanta Torres
Leonardo,Barron,1984-11-16,Seelow,Christopher Jesus,淑华 Munari
Jacob,Marcacci,1952-05-21,永安,Durante Dias,Jennifer Moreira
Adelmo,Brooks,1988-06-10,巢湖,Vincenzo da Paz,欣 Powers
Samuel,Powers,1950-12-24,荆门,Richard 彭,Cassandra Schönland
Vicente,Acosta,1983-10-16,通辽,Jan-Peter Martin,秀荣 Wende
Victoria,Duarte,1983-03-08,太原,建华 Cardoso,Jennifer Ariasso
Jörn,da Rocha,2004-02-16,天津,Delfino Owen,Brenda 费
Stefani,Griffin,1988-12-01,Bernburg,Paulo Nunes,Tina Black
Amy,Siering,2002-06-29,大冶,João Miguel Tremonti,Sandra Campos
Hannes,Davis,1986-05-04,淮安,Miguel Clark,Laura 柳
Ansgar,Koch II,1989-04-20,Kitzingen,Yuri Kade,梅 Zaccagnini
Derrick,Foster,1992-02-17,Cottbus,建国 姚,Lisa Cremonesi
Paula,Baldwin,1995-09-14,六盘水,Eric 蔡,Mariane Stolze
Michael,Barbosa,1984-05-10,邯郸,俊 Celentano,Sonia Hellwig
Philip,Ricolfi,2003-07-25,Melsungen,Jacob Cannon,Ludovica Macdonald
Calogero,Brown,1967-08-02,杭州,Amedeo 高,Vitória Kallert
Ermanno,Gomes,1949-03-04,Tirschenreuth,Dietrich Summers,Heather Bowen
Birthe,檀,2000-12-23,马鞍山,Francisco Martinez,Audrey Rocha
Melissa,Estes,1990-06-07,Düren,Thomas Bonolis,Marina Heinrich
Curtis,Caldeira,1957-05-27,长沙,Christopher 孔,Annelore Campos
Giada,Lopez,1943-06-13,成都,Santino Tlustek,Evamaria Porto
Wolfhard,Casagrande,1960-05-14,兰州,Harro Ferguson,Maria Clara Flores
Tamara,Robinson,1966-04-13,Einbeck,Bruce 林,Jessica Mann
Vincenzo,Acosta,1984-10-09,拉萨,Benjamin Ernst,Malgorzata Crawford
Ian,Klemt,1948-07-11,太原,华 Cunha,Ana Luiza Steele
Stella,Brock,1955-02-18,Pritzwalk,Bryan 张,Amy 韩
桂香,Wong,1979-04-27,潮州,Lars Martin,Mercedes Dillon
Daniel,Peixoto,2000-06-19,大冶,João Guilherme Hartmann,Maura Hermighausen
Leroy,揭,1966-05-27,Kamenz,Jacob Seip,Rose Little
Andrea,白,1947-09-09,澳门,Giorgio Avogadro,Kelly Sanchez
Breno,Keudel,1942-07-28,Nabburg,Cauã Anastasi,淑英 Castro
Justin,Beer,1961-02-27,Rudolstadt,Marco Santos,Priscilla Asmundo
Ludmila,Cruz,1967-09-16,辽阳,Benício Wilson,Beatrice Barbarigo
April,auch Schlauchin,1971-10-02,Northeim,Michael Mosemann,Rita Dias
Guglielmo,Rivera,1998-05-06,Schmölln,Michele Cunha,Angela Weber
Yuri,Drub,1996-03-02,东莞,Reza 刘,丽华 Fernandes
Temistocle,Lopes,1949-05-23,巢湖,Sabatino Brooks,Ashley 董
秀英,Oliveira,1981-09-24,Querfurt,Giampiero Thomas,Aneta Romiti
荣,Carroll,1955-09-10,Grevenbroich,Luca Winkler,琴 Mcpherson
Lauren,Käster,1963-07-07,福州,John 李,Elisa Fantini
Berenice,Sullivan,1983-02-20,阜新,Chad Monduzzi,Flavia Schuchhardt
Elizabeth,Gonçalves,1946-07-05,上海,Dino Cowan,Stephanie Thompson
Danny,Wulf,1997-12-07,柳州,辉 Kohl,Marcia Casadei
Michael,Jäkel,1977-07-02,Ebersberg,Gianpaolo 朱,Kathleen Fletcher
Katherine,Costa,1993-08-31,Groß-Gerau,Klaus-Dieter Duncan,Natália Guariento
兰英,Etzold,1984-03-13,Perleberg,Adam Barbosa,Laura 彭
Giovanna,王,1959-04-03,台北,Pompeo Gorlitz,洁 Finetti
Valerie,Mason,1950-05-12,Wiedenbrück,Brandon Castillo,Bettina Patberg
玉梅,Jüttner,1947-02-12,潜江,Massimo 王,Maria Eduarda Finke
William,Maynard,1994-02-10,Stadtroda,Jaroslav Sales,Rebecca Koch II
Curtis,张,1980-02-05,Soltau,Phillip Duran,Jo 吴
Anna-Luise,Keller,1995-08-23,合山,Patrick Steckel,Amanda 刘
雪梅,Caldeira,1945-07-23,长春,Telemaco Snyder,Brianna Vieira
丽华,Santos,1960-07-30,北镇,建军 Gomez,Ana Sophia Sales
Rosina,Johnson,1967-07-01,Greifswald,Joaquim 桑,Ebony Neuschäfer
Jelena,Flores,1989-05-29,Roding,Goffredo 赵,Elizabeth Cox
Joana,Almeida,2000-05-13,昆明,Micheal Allen,Janet Pinamonte
Sarah,檀,1964-05-11,台北,Emanuel Moyer,Nicole Smith
瑜,Patrick,1967-02-08,Gadebusch,Burkard Morgagni,Alicia 刘
Ramona,Donà,1988-08-06,兴安盟,David Haley,Alessia Stewart
桂珍,Baggio,1972-02-06,Bremen,Brian 徐,Yasmin 田
Cody,吕,2004-05-31,Heinsberg,Erick Sanudo,Annette Almeida
Brian,Kim,1958-05-06,巢湖,Gerhardt Chang,莹 王
Rosina,Medina,1958-12-05,永安,Peter Singh,Virginia Miller
秀芳,刘,1942-10-14,Wunsiedel,Caleb Werner,Bonnie Bruder
Camila,陈,1999-07-12,Eichstätt,Jesse 容,海燕 Caldeira
Katherine,Ryan,1947-01-31,Schwabmünchen,Gary Williams,Raisa Randall
Elsa,奉,1950-10-18,武汉,Casey 吕,玉梅 Kreusel
Amy,Harris,1950-07-30,武汉,Dennis Campbell,Daniela Gonçalves
Maria,Santiago,2003-06-24,Parchim,Noah 徐,Katie Bulzoni
